컬렉션명,페이지_수,쿼리,Recall_5_평균,Recall_5_표준편차,Recall_10_평균,Recall_10_표준편차,Brute_Force_시간_ms,HNSW_시간_ms
collection_0027_26000pages,26000,자연어 처리 기술,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,1832.4201107025146,1.3404687245686848
collection_0027_26000pages,26000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,1711.8717829386394,7.567644119262695
collection_0027_26000pages,26000,강화학습 기법,1.0,0.0,1.0,0.0,1789.392312367757,0.0
collection_0027_26000pages,26000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,1717.8138097127278,5.329449971516927
collection_0028_27000pages,27000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1950.6747722625732,15.860478083292644
collection_0028_27000pages,27000,자연어 처리 기술,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,1818.0667559305828,7.756789525349935
collection_0028_27000pages,27000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,1950.9203433990479,3.596146901448568
collection_0028_27000pages,27000,강화학습 기법,1.0,0.0,1.0,0.0,1843.4199492136638,8.661667505900065
collection_0028_27000pages,27000,신경망 아키텍처,1.0,0.0,0.9,0.0,1816.9378439585369,2.28269894917806
collection_0029_28000pages,28000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1924.9910513559978,19.242048263549805
collection_0029_28000pages,28000,자연어 처리 기술,0.6,0.0,0.6,0.0,1862.351894378662,5.36354382832845
collection_0029_28000pages,28000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1920.9791819254558,2.8788248697916665
collection_0029_28000pages,28000,강화학습 기법,1.0,0.0,0.9,0.0,1938.247839609782,12.215534845987955
collection_0029_28000pages,28000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,1825.074593226115,1.7576217651367188
collection_0030_29000pages,29000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1957.3136965433757,19.267956415812176
collection_0030_29000pages,29000,자연어 처리 기술,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,1898.18541208903,5.235036214192708
collection_0030_29000pages,29000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1901.2407461802165,0.8563995361328125
collection_0030_29000pages,29000,강화학습 기법,1.0,0.0,1.0,0.0,1865.8616542816162,7.693847020467122
collection_0030_29000pages,29000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,1913.1685098012288,7.393360137939453
collection_0031_30000pages,30000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1979.3760776519775,5.255937576293945
collection_0031_30000pages,30000,자연어 처리 기술,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,1902.9292265574138,12.858708699544271
collection_0031_30000pages,30000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2041.5288607279458,5.25967280069987
collection_0031_30000pages,30000,강화학습 기법,1.0,0.0,1.0,0.0,1971.171458562215,8.202950159708658
collection_0031_30000pages,30000,신경망 아키텍처,1.0,0.0,0.9,0.0,1918.7143643697102,0.0
collection_0032_31000pages,31000,딥러닝 모델의 성능 향상 방법,1.0,0.0,0.9,0.0,2217.5864378611245,20.993630091349285
